prec,flex,resl,team,pmat,rel,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sched,kloc,effort,defects,months,cost
3,3,3,4,0,1,4,0,2,2,2,3,3,1,1,2,1,1,2,0,3,2,113,2040,13027,38.4,532.35
3,3,3,4,0,1,4,1,2,2,2,3,2,2,2,2,3,3,3,0,3,2,293,1600,25229,48.6,517.90
3,3,3,4,2,2,4,1,2,2,2,2,1,3,3,2,4,3,3,1,3,2,132,243,3694,28.7,276.85
3,3,3,4,0,0,4,0,2,2,2,2,1,1,0,2,3,2,3,0,3,2,60,240,5688,28.0,371.06
3,3,3,4,0,1,1,2,2,2,2,2,1,2,3,2,2,3,3,0,3,2,16,33,970,14.3,110.47
3,3,3,4,0,0,2,1,2,2,2,4,2,0,0,2,2,3,3,0,3,2,4,43,553,11.6,200.23
3,3,3,4,2,0,2,2,2,2,2,2,1,2,2,2,2,3,3,1,3,2,6.9,8,350,10.3,160.61
3,3,3,4,0,3,1,4,2,2,5,5,4,4,2,2,3,0,0,0,3,1,22,1075,3511,24.5,285.43
3,3,3,4,2,3,1,4,2,2,4,4,3,3,3,2,2,1,1,0,3,2,30,423,1989,24.1,192.39
3,3,3,4,1,4,1,4,2,2,3,5,2,3,3,2,4,3,2,0,3,2,29,321,1496,23.2,232.39
3,3,3,4,1,4,1,4,2,2,3,5,2,3,3,2,4,3,2,0,3,2,32,218,1651,24.0,352.81
3,3,3,4,2,3,1,4,2,2,3,3,2,3,3,2,4,2,3,0,3,1,37,201,1783,19.1,168.62
3,3,3,4,2,3,1,4,2,2,3,3,3,4,4,2,2,1,2,0,3,2,25,79,1138,18.4,163.83
3,3,3,4,0,3,1,5,2,2,4,5,3,3,4,2,2,1,1,0,3,0,3,60,387,9.4,104.66
3,3,3,4,2,4,1,4,2,2,4,3,3,3,3,2,1,0,0,0,3,0,3.9,61,276,9.5,124.57
3,3,3,4,1,4,2,4,2,2,4,5,2,3,3,2,2,2,2,0,3,2,6.1,40,390,14.9,157.74
3,3,3,4,1,4,2,4,2,2,4,5,2,3,3,2,4,2,2,0,3,2,3.6,9,230,12.3,230.78
3,3,3,4,0,3,4,3,2,2,4,4,2,3,2,2,2,2,2,0,3,1,320,11400,34588,52.4,787.57
3,3,3,4,2,3,3,2,2,2,3,4,1,4,2,2,3,2,2,1,3,2,1150,6600,41248,67.0,1024.64
3,3,3,4,0,4,3,4,2,2,3,4,3,4,2,2,4,1,1,0,3,1,299,6400,30955,53.4,416.95
3,3,3,4,2,2,4,3,2,2,2,2,1,3,2,2,2,2,2,1,3,2,252,2455,11664,40.8, 427.32
3,3,3,4,2,3,2,2,2,2,2,3,2,3,3,2,4,3,2,0,3,0,118,724,5172,21.7,627.29
3,3,3,4,1,3,2,2,2,2,2,3,2,3,3,2,4,3,2,0,3,0,77,539,4362,19.5,154.55
3,3,3,4,2,1,2,1,2,2,2,3,2,2,2,2,0,1,3,2,3,2,90,453,4407,27.1,227.43
3,3,3,4,2,3,4,4,2,2,2,3,2,3,3,2,2,1,2,1,3,1,38,523,2269,20.2,414.77
3,3,3,4,2,2,2,1,2,2,2,3,3,3,3,2,2,1,2,0,3,1,48,387,2419,18.5,199.92
3,3,3,4,2,3,1,3,2,2,2,4,2,2,2,2,2,2,2,0,3,1,9.4,88,517,12.1,197.28
3,3,3,4,0,3,3,4,2,2,3,4,3,3,3,2,2,1,1,0,3,2,13,98,1473,19.6,147.96
3,3,3,4,2,1,2,2,2,2,2,2,2,2,3,2,0,2,2,1,3,0,2.14,7.3,138,5.3,215.93
3,3,3,4,2,1,2,2,2,2,2,2,2,2,3,2,0,2,2,1,3,0,1.98,5.9,128,5.2,84.37
